layer,side,wire_number,tension,tension_pass,frequency,zone,confidence,t_sigma,x,y,Gcode,wires,ttf,time
X,B,22,5.606948012173176,True,75.43676766686792,5,0.70952135,0.04104234941420933,6310.0,299.0,X6310.0 Y299.0,"[5.619462214630397, 5.606131497435831, 5.526501699802998]",2.194816827774048,2025-04-18_10-50-41
X,B,23,5.647805320030857,True,75.7111191300572,5,0.6509697,0.05048556013969741,6310.0,303.9,X6310.0 Y303.9,"[5.547756792907494, 5.659113929624394, 5.650010613261459]",6.67368221282959,2025-04-18_10-50-47
X,B,24,5.635319751973019,True,75.62738577741013,5,0.6816457,0.06755734175038654,6310.0,308.6,X6310.0 Y308.6,"[5.518271323862036, 5.623623585819193, 5.68146284103225]",3.0092520713806152,2025-04-18_10-50-50
X,B,25,5.635802080755062,True,75.6306221939743,5,0.7606222,0.0352789623619709,6310.0,313.4,X6310.0 Y313.4,"[5.631864528587652, 5.630684223342887, 5.706105375515356]",2.8597934246063232,2025-04-18_10-50-53
X,B,26,5.580168354132053,True,75.25640316394393,5,0.75844735,0.06096735155261939,6310.0,318.2,X6310.0 Y318.2,"[5.46000360863923, 5.596831190668033, 5.580236704899326]",6.374050140380859,2025-04-18_10-50-59
X,B,27,5.80138081719943,True,76.733585892189,5,0.69353557,0.061800542152940514,6310.0,323.0,X6310.0 Y323.0,"[5.780701916745462, 5.921961161005403, 5.804201389500315]",2.4249560832977295,2025-04-18_10-51-02
X,B,28,6.054121597247966,True,78.38724057488746,5,0.6268414,0.060093113244655716,6310.0,327.8,X6310.0 Y327.8,"[6.086776115673896, 6.045292804150519, 5.943724724746733]",2.4217143058776855,2025-04-18_10-51-04
X,B,29,5.8674053947719615,True,77.16899683204717,5,0.7307431,0.08189076876500563,6310.0,332.6,X6310.0 Y332.6,"[5.865824119204787, 6.029312150953427, 5.846914329158152]",3.294842004776001,2025-04-18_10-51-08
X,B,30,5.89463429544307,True,77.3478488675487,5,0.7844786,0.08021613918268626,6310.0,337.4,X6310.0 Y337.4,"[5.9356011892189615, 5.883863632895748, 5.745573191445817]",3.0793752670288086,2025-04-18_10-51-11
X,B,31,5.83144381554127,True,76.9321473139333,5,0.75226337,0.0908683033187686,6310.0,342.1,X6310.0 Y342.1,"[5.994013468117804, 5.84634927661833, 5.7759482853951125]",2.8602497577667236,2025-04-18_10-51-14
