wire_number,json_A,json_B,summary_A,summary_B,diff_A,diff_B
533,6.73,6.52,6.004386216409942,5.616678561254605,-0.7256137835900587,-0.9033214387453947
534,6.76,6.49,5.506829389486155,4.848025433390317,-1.2531706105138447,-1.641974566609683
535,6.9,6.6,5.664175995376422,5.336962802142025,-1.235824004623578,-1.263037197857975
536,6.82,6.41,5.725854771788647,5.5878324689270045,-1.094145228211353,-0.8221675310729957
537,6.61,6.58,4.086314075763299,5.585059883628368,-2.523685924236701,-0.994940116371632
538,6.69,6.43,5.9168454176962495,5.531387871964112,-0.7731545823037509,-0.8986121280358876
539,6.75,6.34,5.994512477932832,5.669319135608846,-0.7554875220671677,-0.6706808643911542
540,6.88,6.23,5.530517635304743,5.409637671977957,-1.3494823646952572,-0.8203623280220436
541,6.76,6.27,5.658827608436108,5.527758009251568,-1.1011723915638916,-0.7422419907484317
542,6.6,5.75,5.95506912344556,5.199277065442287,-0.6449308765544393,-0.5507229345577134
543,6.92,6.49,6.069263573079388,5.0181820272871525,-0.8507364269206121,-1.4718179727128478
544,6.6,6.33,5.993459163802081,4.933925536286522,-0.6065408361979188,-1.3960744637134779
545,6.7,6.42,5.937006956220607,5.801571733648768,-0.7629930437793933,-0.6184282663512315
546,6.49,6.34,5.852497474229772,5.544826772519577,-0.6375025257702278,-0.7951732274804231
547,6.55,6.48,6.026991469790739,5.729506789539654,-0.5230085302092604,-0.7504932104603466
548,6.49,6.42,5.277304467338915,5.387372623939853,-1.212695532661085,-1.0326273760601472
549,6.52,6.41,5.066266787439526,5.1620819809382805,-1.4537332125604738,-1.2479180190617196
550,6.43,6.32,4.662196449888645,5.24315497366789,-1.7678035501113545,-1.0768450263321103
551,6.5,6.42,5.880079913741994,5.131589665887141,-0.6199200862580057,-1.288410334112859
552,6.62,6.33,5.381846527687308,5.20428530391955,-1.2381534723126917,-1.1257146960804505
553,6.5,6.05,5.936327400102772,5.776261999907504,-0.5636725998972283,-0.2737380000924956
554,6.52,6.55,5.964546152844204,5.777207113038015,-0.5554538471557953,-0.7727928869619847
555,6.47,6.42,5.829987468437678,5.480935510591304,-0.6400125315623217,-0.9390644894086959
556,6.57,6.49,4.740376133177493,5.810462581843225,-1.8296238668225069,-0.6795374181567748
557,6.5,6.56,4.334168832013761,5.461028882286179,-2.165831167986239,-1.0989711177138206
558,6.5,6.44,5.994290719898492,5.67581055205373,-0.5057092801015077,-0.7641894479462703
559,6.35,6.47,5.863810200375247,5.585773849939449,-0.4861897996247526,-0.8842261500605506
560,5.92,6.5,5.548688595703862,5.725649933765502,-0.3713114042961383,-0.774350066234498
561,6.12,6.45,5.4316384271532,5.826272900324854,-0.6883615728467998,-0.6237270996751461
562,6.11,6.22,5.263216406134124,5.965950348378086,-0.8467835938658768,-0.25404965162191395
