wire_number,A_baseline_json_value,B_reversed_json_value,A_baseline_mapped_wire,B_reversed_mapped_wire,A_baseline_residual,B_reversed_residual,A_baseline_summary_value,B_reversed_summary_value
52,6.21,6.1,52,430,-0.37619015276982193,-0.1769110013346733,5.833809847230178,5.923088998665326
53,6.17,6.27,53,429,-0.6446656452748538,0.2868325796389266,5.525334354725146,6.556832579638926
54,5.89,5.99,54,428,-0.2821851740913832,-0.5059628235238804,5.6078148259086165,5.48403717647612
55,6.11,6.08,55,427,-0.22357152247014778,0.2424241040170818,5.8864284775298525,6.322424104017082
56,6.28,6.33,56,426,-0.5072072807330388,-0.00258414231135351,5.7727927192669615,6.327415857688647
57,6.44,6.35,57,425,-0.5169121858822878,-0.39878258358177554,5.923087814117713,5.951217416418224
58,6.36,6.43,58,424,-0.43358195473163796,-0.28237867209319045,5.926418045268362,6.147621327906809
59,6.25,5.86,59,423,-0.42398286204598534,-0.016700490186478234,5.826017137954015,5.843299509813522
60,6.22,5.96,60,422,-0.49303217748283856,0.17342078374830372,5.726967822517161,6.133420783748304
61,6.51,6.35,61,421,-0.44949500220176386,-0.29215713169563706,6.060504997798236,6.057842868304363
62,6.1,5.92,62,420,-0.42021848387057315,0.29758504028467136,5.6797815161294265,6.217585040284671
63,6.03,6.19,63,419,-0.2546541494687151,-0.46237289776341406,5.775345850531285,5.727627102236586
64,6.28,6.03,64,418,-0.4956593125351212,-0.5259079798344368,5.784340687464879,5.504092020165563
65,6.41,6.0,65,417,-0.23462381246820918,-0.0613903799828428,6.175376187531791,5.938609620017157
66,6.05,6.03,66,416,-0.39365104234733383,0.2769851655175799,5.656348957652666,6.30698516551758
67,5.76,5.89,67,415,0.3955549146099431,-0.26044009863703454,6.155554914609943,5.629559901362965
68,6.0,6.17,68,414,-0.6415593812511355,-0.49244423525303027,5.3584406187488645,5.67755576474697
69,6.17,5.94,69,413,-0.46225222804265265,-0.07231833293521195,5.707747771957347,5.867681667064788
70,5.97,5.92,70,412,-0.4855787042352038,0.13886715584282516,5.484421295764796,6.058867155842825
71,6.06,5.91,71,411,-0.2816757578958775,-0.4259662429230149,5.778324242104122,5.484033757076985
72,6.0,5.82,72,410,-0.5103148013932195,-0.40463711702538596,5.4896851986067805,5.415362882974614
73,6.41,5.91,73,409,-0.46995511393156697,0.48726348755003457,5.940044886068433,6.397263487550035
74,6.11,5.97,74,408,-0.37558919954213366,-0.04639097349187704,5.734410800457867,5.923609026508123
75,5.96,5.77,75,407,-0.4189347581595815,0.20021720825801914,5.5410652418404185,5.970217208258019
76,6.06,5.73,76,406,-0.2007922399600055,-0.23850371799881387,5.859207760039994,5.491496282001187
77,6.85,5.88,77,405,-1.127535463788746,-0.1806597739824598,5.722464536211254,5.69934022601754
78,6.25,5.79,78,404,-0.42792365265498056,0.09091625784265833,5.822076347345019,5.880916257842658
79,6.16,5.92,79,403,-0.47020475119204264,0.22901645714708785,5.6897952488079575,6.149016457147088
80,6.14,6.1,80,402,-0.4597080885745459,0.09315064051304489,5.680291911425454,6.1931506405130445
81,5.97,6.03,81,401,-0.3823937556210142,-0.014628694857201197,5.587606244378986,6.015371305142799
82,6.06,6.05,82,400,0.07343404311298496,0.14292898351816152,6.133434043112985,6.192928983518161
83,5.65,6.19,83,399,-0.6367286828908556,-0.03819401671581435,5.013271317109145,6.151805983284186
84,6.03,6.24,84,398,-0.14882760925218808,-0.031260448478044545,5.881172390747812,6.208739551521956
85,6.3,5.94,85,397,-0.3929862369002137,0.44376846051365604,5.907013763099786,6.383768460513656
86,6.13,6.08,86,396,-0.42283943475274466,0.07922164052516312,5.707160565247255,6.159221640525163
87,6.0,5.82,87,395,-0.3006737174788121,1.065108688397701,5.699326282521188,6.885108688397701
88,5.89,5.89,88,394,-0.5873380977527054,0.42618412389436955,5.302661902247294,6.316184123894369
89,6.22,6.05,89,393,-0.40046830708641945,0.2800447255156646,5.81953169291358,6.330044725515664
90,6.28,5.97,90,392,-0.35722253327661324,0.20407965889643442,5.922777466723387,6.174079658896434
91,6.03,5.79,91,391,-0.3976404583276594,0.022693123293239914,5.632359541672341,5.81269312329324
92,6.36,5.79,92,390,-0.33313346376428665,-0.19785636436993936,6.026866536235714,5.592143635630061
93,5.89,5.41,93,389,-0.40596168372393127,1.3880861757517202,5.484038316276068,6.79808617575172
94,6.05,5.76,94,388,-0.22402280521030082,0.06757855303890015,5.825977194789699,5.8275785530389
95,6.19,5.7,95,387,-0.35914167678424036,-0.23705615467544838,5.83085832321576,5.462943845324552
96,6.1,5.89,96,386,0.14344173115911296,-0.36123858415071286,6.243441731159113,5.528761415849287
97,5.96,5.52,97,385,-0.13734465729975653,-0.24311183940047165,5.822655342700243,5.276888160599528
98,6.14,5.68,98,384,-0.4329603607004531,0.34757034095668526,5.707039639299547,6.027570340956685
99,6.25,5.74,99,383,-0.3952812813037978,0.38728323740627335,5.854718718696202,6.127283237406274
100,5.83,5.89,100,382,-0.08648281123774382,-0.23011411936896842,5.743517188762256,5.659885880631031
101,6.11,5.89,101,381,-0.3722681287595977,-0.32520809167125364,5.737731871240403,5.564791908328746
102,6.28,6.0,102,380,-0.41289013121625473,-0.3728488028884369,5.8671098687837455,5.627151197111563
103,6.32,6.02,103,379,-0.4125556392012353,-0.6225723336251239,5.907444360798765,5.397427666374876
104,5.97,6.03,104,378,-0.5179569378253994,0.04970711529196592,5.4520430621746,6.079707115291966
105,6.19,5.86,105,377,-0.48943035534248125,0.5725532773630313,5.700569644657519,6.432553277363032
106,6.28,6.21,106,376,-0.3743654634355922,-0.4567236196962101,5.905634536564408,5.75327638030379
107,5.89,5.99,107,375,-0.4047682481941166,0.32569362080516484,5.485231751805883,6.315693620805165
108,5.96,6.06,108,374,-0.3906236882266061,-0.45743514965340193,5.569376311773394,5.602564850346598
109,6.32,6.16,109,373,-0.43555876927866954,0.0005987563104046245,5.884441230721331,6.160598756310405
110,5.59,5.86,110,372,-0.41041937796628236,-0.5831274923099565,5.1795806220337175,5.276872507690044
111,5.53,6.13,111,371,0.2526680332214317,-0.6459628235238801,5.782668033221432,5.48403717647612
112,6.05,5.97,112,370,-0.5126680009807671,-0.5649516910561072,5.537331999019233,5.4050483089438925
