side,wire_number,x,y,time
B,398,4073.9,275.8,2024-11-21_10-19-48
B,399,4081.9,275.8,2024-11-21_10-19-49
B,400,4089.9,275.8,2024-11-21_10-19-51
B,401,4097.9,275.8,2024-11-21_10-19-53
B,402,4105.9,275.8,2024-11-21_10-19-55
B,403,4113.9,275.8,2024-11-21_10-19-57
B,404,4121.9,275.8,2024-11-21_10-19-58
B,405,4129.9,275.8,2024-11-21_10-19-59
B,406,4137.9,275.8,2024-11-21_10-20-01
B,407,4145.9,275.8,2024-11-21_10-20-02
B,408,4153.9,275.8,2024-11-21_10-20-03
B,409,4161.9,275.8,2024-11-21_10-20-15
B,410,4169.9,275.8,2024-11-21_10-20-18
B,411,4177.9,275.8,2024-11-21_10-20-19
B,412,4185.9,275.8,2024-11-21_10-20-20
B,413,4193.9,275.8,2024-11-21_10-20-21
B,414,4201.9,275.8,2024-11-21_10-20-22
B,415,4209.9,275.8,2024-11-21_10-20-26
B,416,4217.9,275.8,2024-11-21_10-20-27
B,417,4225.9,275.8,2024-11-21_10-20-29
B,418,4233.9,275.8,2024-11-21_10-20-31
B,419,4241.9,275.8,2024-11-21_10-20-31
B,420,4249.9,275.8,2024-11-21_10-20-32
B,421,4257.9,275.8,2024-11-21_10-20-33
B,422,4265.9,275.8,2024-11-21_10-20-34
B,423,4273.9,275.8,2024-11-21_10-20-35
B,424,4281.9,275.8,2024-11-21_10-20-35
B,425,4289.9,275.8,2024-11-21_10-20-36
B,426,4297.9,275.8,2024-11-21_10-20-37
B,427,4305.9,275.8,2024-11-21_10-20-39
B,428,4313.9,275.8,2024-11-21_10-20-40
B,429,4321.9,275.8,2024-11-21_10-20-41
B,430,4329.9,275.8,2024-11-21_10-20-42
B,431,4337.9,275.8,2024-11-21_10-20-43
B,432,4345.9,275.8,2024-11-21_10-20-47
B,433,4353.9,275.8,2024-11-21_10-20-49
B,434,4361.9,275.8,2024-11-21_10-20-51
B,435,4369.9,275.8,2024-11-21_10-20-53
B,436,4377.9,275.8,2024-11-21_10-20-56
B,437,4385.9,275.8,2024-11-21_10-20-57
B,438,4393.9,275.8,2024-11-21_10-20-58
B,439,4401.9,275.8,2024-11-21_10-20-59
B,440,4409.9,275.8,2024-11-21_10-21-01
B,441,4417.9,275.8,2024-11-21_10-21-02
B,442,4425.9,275.8,2024-11-21_10-21-03
B,443,4433.9,275.8,2024-11-21_10-21-04
B,444,4441.9,275.8,2024-11-21_10-21-06
B,445,4449.9,275.8,2024-11-21_10-21-09
B,446,4457.9,275.8,2024-11-21_10-21-10
B,447,4465.9,275.8,2024-11-21_10-21-13
B,448,4473.9,275.8,2024-11-21_10-21-15
B,449,4481.9,275.8,2024-11-21_10-21-16
B,450,4489.9,275.8,2024-11-21_10-21-17
B,451,4489.9,281.5,2024-11-21_10-21-20
B,452,4489.9,287.2,2024-11-21_10-21-22
B,453,4489.9,293.0,2024-11-21_10-21-23
B,454,4489.9,298.8,2024-11-21_10-21-25
B,455,4489.9,304.5,2024-11-21_10-21-28
B,456,4489.9,310.2,2024-11-21_10-21-32
B,457,4489.9,316.0,2024-11-21_10-21-33
B,458,4489.9,321.8,2024-11-21_10-21-36
B,459,4489.9,327.5,2024-11-21_10-21-38
B,460,4489.9,333.2,2024-11-21_10-21-39
B,461,4489.9,339.0,2024-11-21_10-21-41
B,462,4489.9,344.8,2024-11-21_10-21-43
B,463,4489.9,350.5,2024-11-21_10-21-44
B,464,4489.9,356.2,2024-11-21_10-21-45
B,465,4489.9,362.0,2024-11-21_10-21-46
